"","HHID_unique","hh_size","tikina","province","sector","area","EA","class","date.interview","start.interview","end.interview","second.interview","reason.second","start.second","end.second","final.outcome","religion","language","any.child.dead","number.child.dead","tv","radio","refrigerator","telephone","bicycle","motorbike","car","truck","tractor","computer","internet","land","roofing","flooring","walling","overall.condition","other.households","number.households","toilet","water","distance.water","treat.water","how.treat","cooking.fuel","secondary.cooking","type.secondary","type.stove","where.cook","with.electricity","hrs.electricity","reliable.electricity","season.food","season.water","season.economic","place_in_HH","sex","relationship","age","age.categories","marital","disability3","disability.categories","ethnicity","ind.language","y.n.religion","ind.religion","seeing","hearing","walking","remembering","self.care","communicating","food.resources","resources.often","food.sleep","sleep.often","food.wholeday","wholeday.often","food.year","water.quantity","number.people","sleep.outdoors","nights.outdoors","illness.injury","affect.work","length.affect","time.exposure","health.exposure","rate.exposure","receive.care","not.seek","provider","skill","clean","available","respect","wait","location","hcprobs","given.birth","number.births","currently.preg","month.preg","prenatal.preg","provider.prenatal","prenatal.visits","planned.visits","reason.prenatal","where.prenatal","postnatal","care.postnatal","provider.postnatal","freq.postnatal","reason.postnatal","attend.postnatal","birth.postnatal","where.postnatal","attend.school","years.schooling","highest.schooling","read","read.english","check.read.english","read.fijian","check.read.other","write","write.english","check.write","write.other","check.write.other","arithmetic","check.add","check.multiply","toilet.facilities","second.toilet","type.second","support.amount","protect.amount","present.amount","ask","hit","beaten","force","amount","insult","future","access.contraception","methods","barriers","rubbish","sewage","pollution","stagnant","waste","traffic","noise","other","raise.issues","change","control.amount","typical","a.i.time","j.s.time","j.s.second","work.pay","kind.work","injury.work","effect.injury","harm.work","respect.paid","treated.respect","unpaid.work","kind.unpaid.work","injury.unpaid","effect.injury.unpaid","harm.unpaid","respect.unpaid","treated.unpaid","happy","satisfied","poor","how.poor","time.exposure.mins","a.i.time.mins","j.s.time.mins","j.s.second.mins","housing_roof","housing_floor","housing_wall","eprobs","score1.1.1","score1.1","score1","score1_cat","score2.1.1","score2.2.1","score2.3.1","score2.1","score2.2","score2.3","score2","score2_cat","score3.1.1","score3.1.2","score3.2.1","score3.1","score3.2","score3_cat","score4.1.1","score4.1.2","score4.2.1","score4.2","score4","score4_cat","score5.1.1","score5.1.2","score5.1","score5","score5_cat","score6.1.1","score6.1.2","score6.2.1","score6.1","score6.2","score6","score6_cat","score7.1.1","score7.1","score7","score7_cat","score8.1.1","score8.1","score8","score8_cat","score9.1.1","score9.1.2","score9.1","score9","score9_cat","score12.1.1","score12.1","score12","score12_cat","score13.1.1","score13.1.2","score13.1","score13.2.1","score13.2","score13","score13_cat","score14.1.1","score14.1","score14","score14_cat","score15.1.1","score15.1.2","score15.1.3","score15.1","score15.2.1","score15.2.2","score15.2","score15","score15_cat","score4.1","score3"
"1147",635,2,3,14,0,1,140100010,0,300715,11.1,11.2,0,0,0,0,1,4,2,2,NA,1,1,2,1,2,2,2,2,2,2,2,1,10,2,6,3,2,NA,7,7,NA,2,NA,3,1,5,1,3,1,24,3,3,2,3,1,1,1,45,3,1,0,4,1,1,1,3,1,1,1,1,1,1,2,NA,2,NA,2,NA,2,5,"1",2,NA,4,1,1,2,1,2,1,NA,5,2,2,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"11",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,1,5,5,1,2,2,2,NA,1,2,1,4,5,1,1,1,2,2,2,2,2,4,4,4,3,11.3,12.3,0,1,7,2,NA,3,4,4,1,3,2,NA,2,4,4,3,2,2,NA,120,690,750,0,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,NA,1,NA,1,3,1,3,3,2.5,2,3,NA,3,3,3,3,3,0,3,0,1.5,1,3,3,3,3,0,0,0,0,3,3,3,3,3,1,1,1,1,3,3,3,2,2,2.5,2,1,1,1,1,3,3,NA,3,3,NA,3,3,3,2,1
"1148",635,2,3,14,0,1,140100010,0,300715,11.1,11.2,0,0,0,0,1,4,2,2,NA,1,1,2,1,2,2,2,2,2,2,2,1,10,2,6,3,2,NA,7,7,NA,2,NA,3,1,5,1,3,1,24,3,3,2,3,2,2,2,36,3,1,0,4,1,1,1,3,1,1,1,1,1,1,2,NA,2,NA,2,NA,2,2,"1",2,NA,4,1,2,4,1,2,1,NA,5,2,2,2,2,1,2,1,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"10",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,6,3,4,4,1,2,2,2,NA,1,2,1,4,5,1,2,1,1,2,2,1,2,3,2,3,1,10,14,NA,1,4,2,NA,3,3,3,1,1,1,3,3,3,3,1,2,1,3,240,600,840,NA,0,0,1,4,3,3,3,3,3,3,0,3,3,0,2,2,1,1,NA,1,NA,1,3,1,2,2,2,2,3,NA,3,3,3,3,3,0,3,0,1.5,1,3,3,3,3,1,1,1,1,2,2,2,2,2,1,1,1,1,2,1,1.5,1,1,1.25,1,1,1,1,1,2,3,NA,2.5,0,NA,0,1.25,1,2,1
"1149",636,2,3,14,0,1,140100010,0,300715,12.52,13.12,0,0,0,0,1,4,2,2,NA,2,2,2,1,2,2,2,2,2,1,2,1,10,2,6,3,2,NA,4,8,3,2,NA,5,1,3,1,1,2,NA,NA,1,1,1,1,2,1,25,1,1,0,4,1,1,1,3,1,1,1,1,1,1,2,NA,2,NA,2,NA,2,2,"3",2,NA,4,1,2,3,2,NA,1,NA,5,2,2,2,2,1,1,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"10",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,3,5,5,1,2,2,2,NA,1,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,3,1,11,13,NA,2,NA,NA,NA,NA,NA,NA,1,1,2,NA,2,3,3,1,1,1,3,180,660,780,NA,0,0,1,0,3,3,3,3,3,2,0,3,2,0,1.66666666666667,1,1,1,NA,1,NA,1,3,3,2,2,2.5,2,3,NA,3,3,3,0,NA,3,0,3,1.5,1,2,2,2,2,1,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,0,3,NA,3,1.5,1,3,1
"1150",636,2,3,14,0,1,140100010,0,300715,12.52,13.12,0,0,0,0,1,4,2,2,NA,2,2,2,1,2,2,2,2,2,1,2,1,10,2,6,3,2,NA,4,8,3,2,NA,5,1,3,1,1,2,NA,NA,1,1,1,2,1,2,34,2,1,0,4,1,1,1,3,1,1,1,1,1,1,2,NA,2,NA,2,NA,2,4,"3",2,NA,1,1,3,1,1,3,1,NA,5,2,1,2,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"11",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,7,2,4,4,1,2,2,2,NA,1,2,2,NA,NA,2,2,1,1,2,2,2,1,3,3,4,1,11.15,12.45,0,1,10,1,4,2,3,3,1,3,2,NA,2,3,3,2,2,2,NA,60,675,765,0,0,0,1,3,3,3,3,3,3,2,2,3,2,2,2.33333333333333,2,1,1,NA,1,NA,1,2,2,1,1,1.5,1,3,NA,3,3,3,0,NA,3,0,3,1.5,1,1,1,1,1,0,0,0,0,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,3,1,NA,2,3,NA,3,2.5,2,2,1
"1151",637,2,10,11,0,1,110300010,0,300715,19.25,19.5,0,0,0,0,1,4,2,2,NA,2,2,2,1,2,2,2,2,2,2,2,2,10,1,6,1,2,NA,3,8,5,2,NA,5,1,3,1,2,2,NA,NA,2,2,2,1,2,1,34,2,1,0,4,1,1,1,4,1,1,1,1,1,1,2,NA,2,NA,2,NA,2,3,"3",2,NA,1,1,2,2,2,NA,1,NA,5,2,2,2,2,2,2,0,1,2,2,NA,NA,NA,NA,NA,NA,NA,1,1,2,8,NA,1,4,1,1,"11",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,2,4,3,1,2,2,2,NA,1,2,1,1,5,1,2,2,2,2,2,2,1,1,1,5,1,12,12,NA,2,NA,NA,NA,NA,NA,NA,1,1,2,NA,4,3,3,2,2,1,4,120,720,720,NA,0,1,1,2,3,3,3,3,3,2,1,3,2,1,2,2,0,0,NA,0,NA,0,1,3,3,3,2.5,2,3,NA,3,3,3,0,NA,3,0,3,1.5,1,1,1,1,1,0,0,0,0,2,1,1.5,1.5,1,2,2,2,2,0,0,0,3,3,1.5,1,1,1,1,1,0,NA,NA,0,3,NA,3,1.5,1,2,0
"1152",637,2,10,11,0,1,110300010,0,300715,19.25,19.5,0,0,0,0,1,4,2,2,NA,2,2,2,1,2,2,2,2,2,2,2,2,10,1,6,1,2,NA,3,8,5,2,NA,5,1,3,1,2,2,NA,NA,2,2,2,2,1,2,40,3,1,0,4,1,1,1,4,1,1,1,1,1,1,2,NA,2,NA,2,NA,2,2,"3",2,NA,4,2,4,0.3,2,NA,1,NA,5,2,2,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"5",6,1,2,NA,1,3,1,2,NA,1,3,2,NA,NA,4,2,NA,3,5,5,1,2,2,2,NA,1,2,1,5,5,1,2,1,2,2,1,1,1,3,3,5,1,12.3,11.3,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,2,NA,30,750,690,0,0,1,1,5,3,3,3,3,3,2,0,3,2,0,1.66666666666667,1,0,0,NA,0,NA,0,3,3,3,3,3,3,1,1,1,1,1,0,NA,3,0,3,1.5,1,2,2,2,2,1,1,1,1,3,3,3,3,3,1,1,1,1,2,2,2,3,3,2.5,2,2,2,2,2,0,NA,NA,0,3,NA,3,1.5,1,3,0
"1153",638,2,3,14,0,3,140100030,0,300715,11.4,11.55,0,0,0,0,1,4,2,2,NA,2,2,2,1,2,2,2,2,2,2,2,2,10,2,6,3,2,NA,4,8,1,2,NA,3,1,5,1,4,1,6,3,1,2,3,1,1,1,45,3,1,0,4,2,1,1,2,1,1,1,1,1,1,2,NA,2,NA,2,NA,1,4,"3",2,NA,4,2,4,0.3,2,NA,2,4,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"2",3,2,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,4,2,NA,5,5,5,1,1,2,2,2,1,1,2,NA,NA,2,2,2,1,2,2,2,2,4,3,5,2,12,12,NA,1,7,2,NA,3,4,4,2,NA,NA,NA,NA,NA,NA,2,2,1,2,30,720,720,NA,0,0,1,1,2,2,2,2,3,2,2,3,2,2,2.33333333333333,2,1,1,NA,1,NA,1,3,3,0,0,1.5,1,0,0,0,0,0,3,2,0,2.5,0,1.25,1,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,3,2,2.5,3,3,2.75,2,1,1,1,1,3,3,NA,3,3,NA,3,3,3,3,1
"1154",638,2,3,14,0,3,140100030,0,300715,11.4,11.55,0,0,0,0,1,4,2,2,NA,2,2,2,1,2,2,2,2,2,2,2,2,10,2,6,3,2,NA,4,8,1,2,NA,3,1,5,1,4,1,6,3,1,2,3,2,2,2,43,3,1,0,4,1,1,1,3,1,1,1,1,1,1,2,NA,2,NA,2,NA,1,5,"3",2,NA,4,2,4,1,2,NA,2,4,NA,NA,NA,NA,NA,NA,NA,0,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"12",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,7,3,4,4,1,1,2,2,1,1,2,2,NA,NA,2,1,1,1,2,2,2,2,NA,NA,5,2,10,14,NA,1,10,2,NA,4,4,4,2,NA,NA,NA,NA,NA,NA,2,2,1,4,60,600,840,NA,0,0,1,3,2,2,2,2,3,2,3,3,2,3,2.66666666666667,2,1,1,NA,1,NA,1,3,3,0,0,1.5,1,3,NA,3,3,3,3,2,0,2.5,0,1.25,1,2,2,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,NA,NA,NA,3,3,3,3,1,1,1,1,3,3,NA,3,3,NA,3,3,3,3,1
"1155",639,2,3,14,0,10,140100100,0,300715,13.1,13.2,0,0,0,0,1,6,2,2,NA,1,1,1,1,2,2,2,2,2,2,2,2,10,2,15,4,2,NA,7,7,NA,2,NA,6,1,3,1,2,1,24,4,2,2,3,1,2,1,40,3,1,0,4,1,1,1,6,1,1,1,1,1,1,2,NA,2,NA,2,NA,2,1,"1",2,NA,3,1,3,0.3,2,NA,2,5,NA,NA,NA,NA,NA,NA,NA,0,1,2,2,NA,NA,NA,NA,NA,NA,NA,1,1,4,9,NA,1,3,1,1,"15",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,7,4,5,5,1,1,2,2,2,1,2,2,NA,NA,2,2,1,1,2,2,2,1,4,3,4,1,13,11,NA,1,8,2,NA,3,3,3,1,1,2,NA,1,3,3,2,2,2,NA,30,780,660,NA,0,0,0,3,3,3,3,3,3,3,0,3,3,0,2,2,3,3,NA,3,NA,3,2,3,0,0,1.25,1,3,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,1,1,1,1,3,2,2.5,2,2,2.25,2,2,2,2,2,3,3,NA,3,3,NA,3,3,3,2.5,3
"1156",639,2,3,14,0,10,140100100,0,300715,13.1,13.2,0,0,0,0,1,6,2,2,NA,1,1,1,1,2,2,2,2,2,2,2,2,10,2,15,4,2,NA,7,7,NA,2,NA,6,1,3,1,2,1,24,4,2,2,3,2,1,2,40,3,1,0,3,1,1,1,6,1,2,2,2,1,1,2,NA,2,NA,2,NA,2,5,"2",2,NA,4,1,3,2,1,3,1,NA,5,1,2,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"13",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,5,4,4,1,2,2,2,NA,1,2,2,NA,NA,1,2,2,1,2,2,2,2,4,4,3,1,14,10,NA,2,NA,NA,NA,NA,NA,NA,1,3,2,NA,3,2,3,3,3,1,3,120,840,600,NA,0,0,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,3,NA,3,3,2,2,2,2.25,2,3,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3,1,1,2,2,2,2,2,2,0,NA,NA,0,3,1,2,1,1,2.5,3
"1157",640,2,10,11,0,4,110300040,0,300715,9.08,10,0,0,0,0,1,6,2,1,1,1,2,2,1,2,2,2,2,2,2,2,1,10,8,10,4,2,NA,7,7,NA,1,1,3,1,5,1,3,1,24,4,2,2,1,1,1,1,59,4,1,0,3,1,1,1,6,1,1,2,1,1,1,2,NA,2,NA,2,NA,2,5,"4",2,NA,4,1,3,1,1,2,1,NA,1,2,2,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"10",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,6,5,4,3,1,2,1,2,2,1,1,2,NA,NA,2,2,1,2,2,2,2,2,3,2,4,1,14,10,NA,1,5,2,NA,4,3,4,1,3,2,NA,3,4,4,2,2,1,4,60,840,600,NA,0,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,3,NA,3,3,1,3,3,2.5,2,3,NA,3,3,3,3,3,0,3,0,1.5,1,3,3,3,3,3,3,3,3,2,1,1.5,1.5,1,2,2,2,2,2,1,1.5,2,2,1.75,1,2,2,2,2,2,3,NA,2.5,3,NA,3,2.75,2,2,3
"1158",640,2,10,11,0,4,110300040,0,300715,9.08,10,0,0,0,0,1,6,2,1,1,1,2,2,1,2,2,2,2,2,2,2,1,10,8,10,4,2,NA,7,7,NA,1,1,3,1,5,1,3,1,24,4,2,2,1,2,2,2,58,4,1,0,3,1,1,1,6,2,1,2,2,1,2,2,NA,2,NA,2,NA,2,5,"4",2,NA,4,2,4,3,1,1,2,5,NA,NA,NA,NA,NA,NA,NA,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"8",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,3,5,3,1,2,2,2,NA,2,2,NA,NA,NA,2,2,2,2,2,2,2,2,3,3,3,3,14,10,NA,1,5,2,NA,1,3,3,1,1,2,NA,3,3,3,1,1,1,4,180,840,600,NA,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,3,NA,3,3,0,0,0,0.75,0,2,NA,2,2,2,3,3,0,3,0,1.5,1,3,3,3,3,1,1,1,1,3,1,2,2,2,3,3,3,3,2,2,2,1,1,1.5,1,2,2,2,2,2,3,NA,2.5,3,NA,3,2.75,2,1.5,3
"1159",641,2,3,14,0,6,140100060,0,300715,16.55,17.05,0,0,0,0,1,6,2,2,NA,2,1,2,2,2,2,2,2,2,2,2,1,10,2,15,4,2,NA,5,7,NA,2,NA,3,1,5,1,3,1,24,3,2,1,1,1,2,1,52,4,1,0,4,1,1,1,6,1,1,1,1,1,1,2,NA,2,NA,2,NA,2,5,"5",2,NA,3,1,3,1.3,1,2,1,NA,5,2,2,2,2,1,2,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"8",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,3,2,3,1,2,2,2,NA,1,2,NA,NA,NA,2,2,2,2,2,2,2,2,5,4,3,3,14,10,NA,1,5,2,NA,2,3,3,1,1,2,NA,2,3,3,1,1,2,NA,90,840,600,NA,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,3,NA,3,2,1,2,2,1.75,1,2,NA,2,2,2,3,3,0,3,0,1.5,1,2,2,2,2,1,1,1,1,0,1,0.5,0.5,0,3,3,3,3,3,3,3,1,1,2,2,2,2,2,2,2,3,NA,2.5,3,NA,3,2.75,2,1.5,3
"1160",641,2,3,14,0,6,140100060,0,300715,16.55,17.05,0,0,0,0,1,6,2,2,NA,2,1,2,2,2,2,2,2,2,2,2,1,10,2,15,4,2,NA,5,7,NA,2,NA,3,1,5,1,3,1,24,3,2,1,1,2,1,2,36,3,1,0,3,1,1,1,6,1,1,1,2,1,1,2,NA,2,NA,2,NA,2,5,"1",2,NA,4,2,4,0.15,2,NA,1,NA,5,2,2,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"10",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,5,4,4,1,2,2,2,NA,1,2,2,NA,NA,2,2,2,1,2,2,2,2,4,4,5,2,20.3,3.3,0,2,NA,NA,NA,NA,NA,NA,1,3,2,NA,2,3,3,1,1,2,NA,15,1230,210,0,0,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,3,NA,3,3,3,3,3,3,3,3,NA,3,3,3,3,3,0,3,0,1.5,1,1,1,1,1,3,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,0,NA,NA,0,3,NA,3,1.5,1,3,3
"1161",642,2,5,1,1,116,10711168,8,300715,14.4,14.57,0,0,0,0,1,6,2,2,NA,2,2,2,2,2,2,2,2,2,2,2,2,10,3,6,3,2,NA,7,6,NA,2,NA,3,1,5,1,4,2,NA,NA,3,2,3,1,1,1,31,2,1,0,4,1,1,1,6,1,1,1,1,1,1,1,2,1,2,1,1,1,1,"1",2,NA,3,1,3,0,NA,NA,1,NA,5,2,2,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"8",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,3,3,4,1,2,2,2,2,1,2,2,NA,NA,2,2,2,2,2,2,2,1,1,1,3,1,14,10,0,1,10,2,NA,2,3,3,1,1,2,NA,3,3,3,2,4,1,3,0,840,600,0,0,0,1,1,0,0,0,0,3,3,0,3,3,0,2,2,1,1,NA,1,NA,1,2,3,3,3,2.75,2,2,NA,2,2,2,0,NA,0,0,0,0,0,3,3,3,3,1,1,1,1,1,2,1.5,1.5,1,2,2,2,2,0,0,0,1,1,0.5,0,2,2,2,2,3,3,NA,3,3,NA,3,3,3,2.5,1
"1162",642,2,5,1,1,116,10711168,8,300715,14.4,14.57,0,0,0,0,1,6,2,2,NA,2,2,2,2,2,2,2,2,2,2,2,2,10,3,6,3,2,NA,7,6,NA,2,NA,3,1,5,1,4,2,NA,NA,3,2,3,2,2,2,26,2,1,0,4,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,5,"1",2,NA,4,2,4,3,2,NA,2,4,NA,NA,NA,NA,NA,NA,NA,0,1,2,1,4,1,4,2,4,NA,1,1,1,4,NA,NA,1,4,1,1,"10",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,5,4,3,1,1,2,2,2,1,2,2,NA,NA,1,1,1,1,2,2,2,2,3,2,3,3,14.3,8,5.2,2,NA,NA,NA,NA,NA,NA,1,1,2,NA,3,3,3,2,2,1,3,180,870,480,320,0,0,1,4,0,0,0,0,3,3,3,3,3,3,3,3,1,1,NA,1,NA,1,3,3,0,0,1.5,1,3,NA,3,3,3,0,NA,0,0,0,0,0,3,3,3,3,3,3,3,3,2,1,1.5,1.5,1,1,1,1,1,2,1,1.5,1,1,1.25,1,3,3,3,3,0,NA,NA,0,3,NA,3,1.5,1,3,1
"1163",643,2,8,1,0,43,10100430,0,300715,14.05,14.2,0,0,0,0,1,7,3,2,NA,1,1,1,1,1,2,1,1,1,2,2,1,10,6,13,5,2,NA,7,3,90,2,NA,5,2,NA,1,2,1,24,4,2,3,2,1,1,1,57,4,6,0,4,2,2,1,7,1,1,1,1,1,1,2,NA,2,NA,2,NA,2,3,"0",2,NA,4,2,4,0,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"10",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,5,5,5,1,2,2,2,NA,2,2,2,NA,NA,2,2,1,1,2,2,2,2,2,2,4,3,20,4,NA,1,3,2,NA,2,3,3,2,NA,NA,NA,NA,NA,NA,2,2,2,NA,0,1200,240,NA,0,0,0,2,3,3,3,3,0,0,1,0,0,1,0.333333333333333,0,3,3,NA,3,NA,3,3,3,0,0,1.5,1,3,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,1,1,1,2,2,1.5,1,3,3,3,3,3,3,NA,3,3,NA,3,3,3,3,3
"1164",643,2,8,1,0,43,10100430,0,300715,14.05,14.2,0,0,0,0,1,7,3,2,NA,1,1,1,1,1,2,1,1,1,2,2,1,10,6,13,5,2,NA,7,3,90,2,NA,5,2,NA,1,2,1,24,4,2,3,2,2,1,7,61,4,6,0,4,2,2,1,7,1,1,1,1,1,1,2,NA,2,NA,2,NA,2,3,"0",2,NA,4,2,4,0,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"12",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,2,5,5,1,2,2,2,NA,2,2,2,NA,NA,2,2,1,1,2,2,2,2,3,3,4,1,21,3,NA,1,1,2,NA,3,3,3,2,NA,NA,NA,NA,NA,NA,2,2,1,3,0,1260,180,NA,0,0,0,2,3,3,3,3,0,0,1,0,0,1,0.333333333333333,0,3,3,NA,3,NA,3,3,3,0,0,1.5,1,3,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,NA,3,3,NA,3,3,3,3,3
"1165",644,2,6,1,1,703,10317039,9,300715,12.3,12.45,0,0,0,0,1,7,3,2,NA,1,1,1,1,1,2,1,2,2,2,2,1,10,7,10,5,2,NA,7,7,NA,1,4,6,1,3,4,2,1,24,4,2,2,2,1,2,1,33,2,1,0,4,2,2,1,7,1,1,1,1,1,1,2,NA,2,NA,2,NA,2,5,"1",2,NA,4,1,1,2,2,NA,1,NA,5,2,2,2,2,2,2,0,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"16",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,7,5,5,5,2,NA,NA,NA,NA,NA,NA,2,NA,NA,1,2,1,2,2,2,1,2,2,2,3,1,4,20,0,1,6,1,4,3,3,3,2,NA,NA,NA,NA,NA,NA,1,2,2,NA,120,240,1200,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,3,NA,3,3,3,3,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,3,1,NA,2,3,NA,3,2.5,2,3,3
"1166",644,2,6,1,1,703,10317039,9,300715,12.3,12.45,0,0,0,0,1,7,3,2,NA,1,1,1,1,1,2,1,2,2,2,2,1,10,7,10,5,2,NA,7,7,NA,1,4,6,1,3,4,2,1,24,4,2,2,2,2,1,2,35,2,1,0,4,2,2,1,7,1,1,1,1,1,1,2,NA,2,NA,2,NA,2,5,"2",2,NA,4,1,2,0,NA,NA,1,NA,5,2,2,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"15",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,7,5,5,5,1,2,2,2,2,1,1,2,NA,NA,1,2,1,1,2,2,1,2,1,1,4,1,10,14,0,1,8,2,NA,2,3,3,1,4,2,NA,4,3,3,1,2,2,NA,0,600,840,0,0,0,0,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,3,NA,3,3,3,3,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,0,0,0,2,2,1,1,1,1,1,1,3,3,NA,3,3,NA,3,3,3,3,3
